"dateformat_date","quakeCount"
"01/01/2016","63"
"01/02/2016","53"
"01/03/2016","65"
"01/04/2016","83"
"01/05/2016","67"
"01/06/2016","92"
"01/07/2016","153"
"01/08/2016","85"
"01/09/2016","66"
"01/10/2016","66"
"01/11/2016","85"
"01/12/2016","63"
"01/13/2016","67"
"01/14/2016","86"
"01/15/2016","56"
"01/16/2016","68"
"01/17/2016","77"
"01/18/2016","68"
"01/19/2016","74"
"01/20/2016","56"
"01/21/2016","59"
"01/22/2016","61"
"01/23/2016","43"
"01/24/2016","139"
"01/25/2016","81"
"01/26/2016","80"
"01/27/2016","52"
"01/28/2016","60"
"01/29/2016","72"
"01/30/2016","82"
"01/31/2016","67"
"02/01/2016","68"
"02/02/2016","76"
"02/03/2016","65"
"02/04/2016","72"
"02/05/2016","78"
"02/06/2016","68"
"02/07/2016","56"
"02/08/2016","66"
"02/09/2016","77"
"02/10/2016","61"
"02/11/2016","51"
"02/12/2016","64"
"02/13/2016","74"
"02/14/2016","89"
"02/15/2016","55"
"02/16/2016","71"
"02/17/2016","79"
"02/18/2016","52"
"02/19/2016","65"
"02/20/2016","84"
"02/21/2016","59"
"02/22/2016","59"
"02/23/2016","65"
"02/24/2016","68"
"02/25/2016","70"
"02/26/2016","70"
"02/27/2016","75"
"02/28/2016","88"
"02/29/2016","77"
"03/01/2016","75"
"03/02/2016","68"
"03/03/2016","81"
"03/04/2016","45"
"03/05/2016","51"
"03/06/2016","65"
"03/07/2016","56"
"03/08/2016","48"
"03/09/2016","42"
"03/10/2016","57"
"03/11/2016","47"
"03/12/2016","78"
"03/13/2016","73"
"03/14/2016","74"
"03/15/2016","59"
"03/16/2016","61"
"03/17/2016","51"
"03/18/2016","60"
"03/19/2016","87"
"03/20/2016","64"
"03/21/2016","77"
"03/22/2016","55"
"03/23/2016","44"
"03/24/2016","45"
"03/25/2016","46"
"03/26/2016","35"
"03/27/2016","68"
"03/28/2016","53"
"03/29/2016","47"
"03/30/2016","36"
"03/31/2016","42"
"04/01/2016","43"
"04/02/2016","132"
"04/03/2016","66"
"04/04/2016","72"
"04/05/2016","63"
"04/06/2016","58"
"04/07/2016","54"
"04/08/2016","54"
"04/09/2016","68"
"04/10/2016","44"
"04/11/2016","52"
"04/12/2016","52"
"04/13/2016","38"
"04/14/2016","74"
"04/15/2016","75"
"04/16/2016","46"
"04/17/2016","61"
"04/18/2016","49"
"04/19/2016","43"
"04/20/2016","52"
"04/21/2016","37"
"04/22/2016","42"
"04/23/2016","36"
"04/24/2016","27"
"04/25/2016","51"
"04/26/2016","43"
"04/27/2016","27"
"04/28/2016","36"
"04/29/2016","38"
"04/30/2016","30"
"05/01/2016","16"
